timestamp,X,Y,Z
17503000,18348.770518,5021.690269,49516.501420
17504000,18348.730469,5021.713375,49516.527958
17505000,18348.752797,5021.752678,49516.514493
17506000,18348.775078,5021.699685,49516.522791
17507000,18348.753348,5021.673655,49516.595025
17508000,18348.732879,5021.698072,49516.545188
17509000,18348.699015,5021.731191,49516.529454
17510000,18348.771340,5021.750282,49516.530861
17511000,18348.750569,5021.739710,49516.569480
17512000,18348.689976,5021.698430,49516.513560
17513000,18348.723394,5021.710787,49516.572610
17514000,18348.726968,5021.655153,49516.577161
17515000,18348.750679,5021.707169,49516.559551
17516000,18348.703846,5021.737496,49516.566165
17517000,18348.706397,5021.712331,49516.506602
17518000,18348.712931,5021.735265,49516.540813
17519000,18348.691221,5021.695719,49516.553216
17520000,18348.741190,5021.707395,49516.563925
17521000,18348.786307,5021.688775,49516.577541
17522000,18348.699618,5021.695799,49516.556718
17523000,18348.648745,5021.708131,49516.559668
17524000,18348.670389,5021.695843,49516.518242
17525000,18348.679361,5021.673011,49516.499374
17526000,18348.714777,5021.707489,49516.520711
17527000,18348.700609,5021.697576,49516.553362
17528000,18348.744309,5021.786849,49516.527405
17529000,18348.754649,5021.684120,49516.573839
17530000,18348.740469,5021.661157,49516.561606
17531000,18348.705345,5021.736586,49516.513813
17532000,18348.752986,5021.658328,49516.552286
17533000,18348.748841,5021.749360,49516.604101
17534000,18348.723792,5021.746174,49516.546025
17535000,18348.730430,5021.700922,49516.551012
17536000,18348.760321,5021.714603,49516.578151
17537000,18348.777872,5021.668991,49516.639740
17538000,18348.709629,5021.713536,49516.545718
17539000,18348.744896,5021.675964,49516.495388
17540000,18348.800626,5021.730235,49516.563672
17541000,18348.710581,5021.743663,49516.558538
17542000,18348.722203,5021.707413,49516.575701
17543000,18348.709618,5021.689084,49516.568571
17544000,18348.739524,5021.714041,49516.578890
17545000,18348.680565,5021.760847,49516.562671
17546000,18348.704117,5021.792902,49516.538248
17547000,18348.660043,5021.702392,49516.572269
17548000,18348.766451,5021.751642,49516.531391
17549000,18348.707108,5021.736113,49516.569973
17550000,18348.701921,5021.672289,49516.549543
17551000,18348.741660,5021.708230,49516.511583
17552000,18348.711571,5021.756123,49516.555298
17553000,18348.686448,5021.689542,49516.583948
17554000,18348.717003,5021.692560,49516.605934
17555000,18348.727201,5021.706136,49516.576297
17556000,18348.726491,5021.691623,49516.547352
17557000,18348.707396,5021.753127,49516.575075
17558000,18348.723590,5021.721393,49516.530765
17559000,18348.703670,5021.695985,49516.554999
17560000,18348.769911,5021.670602,49516.502106
17561000,18348.704667,5021.732922,49516.566594
17562000,18348.756251,5021.735519,49516.567254
17563000,18348.676535,5021.716456,49516.526662
17564000,18348.749369,5021.684738,49516.504977
17565000,18348.748392,5021.674775,49516.531219
17566000,18348.762599,5021.694045,49516.561751
17567000,18348.714391,5021.692044,49516.580800
17568000,18348.736978,5021.713758,49516.541248
17569000,18348.783056,5021.709247,49516.521530
17570000,18348.654233,5021.724731,49516.636457
17571000,18348.707311,5021.699614,49516.594654
17572000,18348.720161,5021.725367,49516.592919
