timestamp,X,Y,Z
103000,18348.805832,5021.725045,49516.580087
104000,18348.758132,5021.686880,49516.571824
105000,18348.726565,5021.691007,49516.622147
106000,18348.752202,5021.733762,49516.581801
107000,18348.765932,5021.736871,49516.610207
108000,18348.701556,5021.757040,49516.586383
109000,18348.770458,5021.708152,49516.562992
110000,18348.740479,5021.730121,49516.557743
111000,18348.746927,5021.722178,49516.609329
112000,18348.760258,5021.686945,49516.619266
113000,18348.717544,5021.689317,49516.524922
114000,18348.712286,5021.667095,49516.592109
115000,18348.722875,5021.742555,49516.595076
116000,18348.744292,5021.731837,49516.549763
117000,18348.668173,5021.736226,49516.583159
118000,18348.738674,5021.720463,49516.524533
119000,18348.743315,5021.715914,49516.581303
120000,18348.743551,5021.679962,49516.588255
121000,18348.790021,5021.715726,49516.592122
122000,18348.714076,5021.707032,49516.554444
123000,18348.722198,5021.724654,49516.572114
124000,18348.721125,5021.706023,49516.553048
125000,18348.698076,5021.726151,49516.539586
126000,18348.647345,5021.729627,49516.565767
127000,18348.713947,5021.694653,49516.603269
128000,18348.736316,5021.695350,49516.545378
129000,18348.705736,5021.739125,49516.584009
130000,18348.670799,5021.598766,49516.522696
131000,18348.713606,5021.725963,49516.592682
132000,18348.699958,5021.678204,49516.508193
133000,18348.684355,5021.694834,49516.573012
134000,18348.697937,5021.681069,49516.531801
135000,18348.712062,5021.692186,49516.587485
136000,18348.700249,5021.658683,49516.540521
137000,18348.713315,5021.691496,49516.556536
138000,18348.760569,5021.664990,49516.578553
139000,18348.705777,5021.704109,49516.559104
140000,18348.666174,5021.715510,49516.505445
141000,18348.733222,5021.670767,49516.555452
142000,18348.739451,5021.735678,49516.533239
143000,18348.777793,5021.769099,49516.604690
144000,18348.749265,5021.676189,49516.548365
145000,18348.682275,5021.673233,49516.530687
146000,18348.729969,5021.671155,49516.574834
147000,18348.740414,5021.691348,49516.556097
148000,18348.755454,5021.688131,49516.572712
149000,18348.766257,5021.719443,49516.510690
150000,18348.772192,5021.749061,49516.531789
151000,18348.681999,5021.726300,49516.577985
152000,18348.739982,5021.730662,49516.561679
153000,18348.687809,5021.637253,49516.564523
154000,18348.758287,5021.685508,49516.581726
155000,18348.769750,5021.708915,49516.546928
156000,18348.736922,5021.674188,49516.515080
157000,18348.749658,5021.660418,49516.528119
158000,18348.694662,5021.750511,49516.540043
159000,18348.695825,5021.699878,49516.590757
160000,18348.725549,5021.726513,49516.563628
161000,18348.724731,5021.738796,49516.521737
162000,18348.703423,5021.735829,49516.578939
163000,18348.715030,5021.711811,49516.576026
164000,18348.741637,5021.724926,49516.541773
165000,18348.669441,5021.707473,49516.551852
166000,18348.737970,5021.678248,49516.532083
167000,18348.712996,5021.742141,49516.561007
168000,18348.697657,5021.705873,49516.537521
169000,18348.761309,5021.683780,49516.535106
170000,18348.687609,5021.736785,49516.514938
171000,18348.761410,5021.726632,49516.584508
172000,18348.741247,5021.684662,49516.539829
173000,18348.701460,5021.710254,49516.575717
174000,18348.705943,5021.723996,49516.585255
175000,18348.714427,5021.727510,49516.565068
176000,18348.675548,5021.711489,49516.574524
177000,18348.709226,5021.713263,49516.580533
178000,18348.722649,5021.709981,49516.558858
179000,18348.728245,5021.679252,49516.587979
180000,18348.740130,5021.702967,49516.607483
181000,18348.694897,5021.713466,49516.583524
182000,18348.764493,5021.698596,49516.595815
183000,18348.763337,5021.691753,49516.530928
184000,18348.798572,5021.785620,49516.590760
185000,18348.730975,5021.746947,49516.581971
186000,18348.792425,5021.671683,49516.568019
187000,18348.722721,5021.661468,49516.544920
188000,18348.689887,5021.710222,49516.551774
189000,18348.670961,5021.693653,49516.608534
190000,18348.660143,5021.741201,49516.573853
191000,18348.786531,5021.654825,49516.532723
192000,18348.686453,5021.716618,49516.544407
193000,18348.736341,5021.747966,49516.603957
194000,18348.719622,5021.712715,49516.577251
195000,18348.666354,5021.705229,49516.596343
196000,18348.711464,5021.751000,49516.569093
197000,18348.726462,5021.676920,49516.611744
198000,18348.766200,5021.701637,49516.533881
199000,18348.710041,5021.711895,49516.501039
200000,18348.748952,5021.638383,49516.557531
201000,18348.737390,5021.720145,49516.586485
202000,18348.698096,5021.713700,49516.536264
203000,18348.714517,5021.694214,49516.546536
204000,18348.732630,5021.687855,49516.541292
205000,18348.693250,5021.746383,49516.580000
206000,18348.734233,5021.696444,49516.537411
207000,18348.759207,5021.731879,49516.607624
208000,18348.801515,5021.691197,49516.508637
209000,18348.724867,5021.684726,49516.567975
210000,18348.748007,5021.763729,49516.573674
211000,18348.729186,5021.716379,49516.558631
212000,18348.748215,5021.654439,49516.526897
213000,18348.706516,5021.687680,49516.562656
214000,18348.720006,5021.751165,49516.568795
215000,18348.718153,5021.724605,49516.502014
216000,18348.680909,5021.709907,49516.573715
217000,18348.694141,5021.684730,49516.557252
218000,18348.729960,5021.691710,49516.610817
219000,18348.679375,5021.695981,49516.545395
220000,18348.764832,5021.688775,49516.584498
221000,18348.701432,5021.688633,49516.561775
222000,18348.721863,5021.692804,49516.566801
223000,18348.777551,5021.775344,49516.522020
224000,18348.762121,5021.744312,49516.509295
225000,18348.647234,5021.691336,49516.497257
226000,18348.695629,5021.721800,49516.572476
227000,18348.740596,5021.679235,49516.538265
228000,18348.743963,5021.767847,49516.551952
229000,18348.722556,5021.723067,49516.573800
230000,18348.704576,5021.725759,49516.495509
231000,18348.743636,5021.717998,49516.525791
232000,18348.730230,5021.711827,49516.555192
233000,18348.724592,5021.729964,49516.576950
234000,18348.741987,5021.699963,49516.536421
235000,18348.778439,5021.711323,49516.546697
236000,18348.769721,5021.746798,49516.560726
237000,18348.753956,5021.735848,49516.570852
238000,18348.701596,5021.670409,49516.517864
239000,18348.686765,5021.744589,49516.559022
240000,18348.753322,5021.657552,49516.557405
241000,18348.712344,5021.753165,49516.515334
242000,18348.680046,5021.721825,49516.622303
243000,18348.695844,5021.702252,49516.528373
244000,18348.707531,5021.731954,49516.570328
245000,18348.730695,5021.699877,49516.542716
246000,18348.703755,5021.652785,49516.543605
247000,18348.731944,5021.707702,49516.512017
248000,18348.721048,5021.739662,49516.553210
249000,18348.725798,5021.689837,49516.583397
250000,18348.702710,5021.714587,49516.582767
251000,18348.710741,5021.732009,49516.580607
252000,18348.742507,5021.645613,49516.557161
253000,18348.708997,5021.713031,49516.617555
254000,18348.733133,5021.701022,49516.570995
255000,18348.701805,5021.715036,49516.512918
256000,18348.721458,5021.646845,49516.580804
257000,18348.742199,5021.713101,49516.549302
258000,18348.743286,5021.690528,49516.518549
259000,18348.769519,5021.681796,49516.559513
260000,18348.688449,5021.661286,49516.552521
261000,18348.644924,5021.672648,49516.497053
262000,18348.683422,5021.704083,49516.516939
263000,18348.736273,5021.640032,49516.587451
264000,18348.735206,5021.692885,49516.545013
265000,18348.723444,5021.735615,49516.512874
266000,18348.718607,5021.670791,49516.511473
267000,18348.693557,5021.718650,49516.523676
268000,18348.741345,5021.699811,49516.598580
269000,18348.734552,5021.662626,49516.598050
270000,18348.697415,5021.696003,49516.612049
271000,18348.757546,5021.708407,49516.576167
