timestamp,X,Y,Z
8873000,-0.011274,0.021522,-9.761372
8874000,0.000538,-0.000756,-9.811613
8875000,-0.024934,-0.008671,-9.838456
8876000,0.046114,-0.035937,-9.820288
8877000,0.000016,0.028612,-9.800730
8878000,-0.030880,0.001478,-9.845470
8879000,0.003672,-0.034083,-9.734480
8880000,0.012485,0.005464,-9.789342
8881000,0.019672,-0.019794,-9.839578
8882000,-0.052384,0.036121,-9.828682
8883000,0.000336,0.008241,-9.811772
8884000,-0.047572,-0.063993,-9.793235
8885000,0.016822,-0.001507,-9.837269
8886000,0.030922,0.005448,-9.800427
8887000,0.037456,0.011680,-9.767001
8888000,0.001104,-0.000186,-9.769287
8889000,-0.014442,-0.019182,-9.822615
8890000,-0.020025,-0.024518,-9.831912
8891000,-0.018739,0.023846,-9.837904
8892000,-0.008143,-0.007202,-9.810099
8893000,0.053380,0.006477,-9.770113
8894000,-0.007695,0.005266,-9.849444
8895000,-0.017252,0.011993,-9.767586
8896000,-0.021062,0.000579,-9.751690
8897000,0.018379,-0.009761,-9.810476
8898000,0.010882,0.010929,-9.860966
8899000,0.006397,-0.021753,-9.839344
8900000,0.012519,-0.013791,-9.785487
8901000,-0.047817,-0.027295,-9.816105
8902000,0.003727,0.028077,-9.753594
8903000,0.000986,0.039802,-9.790394
8904000,0.014384,-0.020196,-9.780826
8905000,-0.016241,-0.004583,-9.770921
8906000,-0.006934,-0.046445,-9.833620
8907000,-0.046755,0.006115,-9.793587
8908000,0.057136,-0.013894,-9.767715
8909000,0.011381,0.053409,-9.832805
8910000,0.014192,0.004606,-9.847907
8911000,-0.021968,0.051229,-9.770366
8912000,0.017160,0.006946,-9.830635
8913000,0.011235,0.032640,-9.866249
8914000,0.025273,0.022207,-9.867356
8915000,-0.029135,-0.006377,-9.805839
8916000,-0.006969,-0.004152,-9.835863
8917000,0.025744,0.038926,-9.833144
8918000,-0.013779,0.008901,-9.830953
8919000,-0.003457,-0.045832,-9.769074
8920000,-0.003054,0.021240,-9.788281
8921000,-0.025164,0.023701,-9.824746
8922000,0.053474,-0.012539,-9.841007
8923000,-0.009941,-0.000169,-9.833442
8924000,-0.004712,-0.001132,-9.778827
8925000,-0.024999,-0.019850,-9.821785
8926000,-0.052072,0.055445,-9.775160
8927000,-0.001033,-0.028118,-9.811288
8928000,0.024535,0.019692,-9.858689
8929000,-0.027899,0.048297,-9.860844
8930000,0.031833,0.050643,-9.828387
8931000,-0.001622,-0.012547,-9.813061
8932000,0.068590,-0.021543,-9.823883
8933000,0.008172,-0.008114,-9.838584
8934000,-0.053140,0.009794,-9.791409
8935000,0.063739,-0.017848,-9.807839
8936000,-0.001271,0.002107,-9.801533
8937000,0.016404,0.056802,-9.793842
8938000,0.003293,0.016538,-9.863364
8939000,-0.006395,-0.001584,-9.834086
8940000,0.032639,0.049941,-9.753926
8941000,-0.006114,-0.023848,-9.811182
8942000,-0.013669,-0.000748,-9.858715
8943000,-0.016246,-0.054314,-9.866544
8944000,-0.014768,0.031895,-9.829599
8945000,-0.018340,0.031710,-9.878896
8946000,-0.011008,-0.008560,-9.803997
8947000,-0.018609,0.027279,-9.830663
8948000,0.020000,0.038054,-9.796710
8949000,-0.000606,-0.011974,-9.862913
8950000,0.012224,-0.041793,-9.811382
8951000,0.019044,0.033497,-9.826395
8952000,-0.003801,-0.009345,-9.811453
8953000,0.015302,-0.048169,-9.846540
8954000,-0.044804,0.038589,-9.841042
8955000,-0.007701,0.022042,-9.839949
8956000,-0.003215,-0.011529,-9.803300
8957000,-0.013698,-0.033939,-9.731932
8958000,0.053803,-0.018644,-9.833377
8959000,0.002224,-0.006723,-9.830370
8960000,0.003394,-0.003367,-9.832438
8961000,-0.013352,0.023091,-9.786075
8962000,0.009647,0.001044,-9.836063
8963000,0.012842,-0.046275,-9.815498
8964000,-0.039158,0.008157,-9.824097
8965000,0.019899,-0.005941,-9.818559
8966000,0.006246,0.024027,-9.827904
8967000,0.007914,-0.003235,-9.777124
8968000,0.024389,-0.025426,-9.827021
8969000,-0.051244,-0.057694,-9.814112
8970000,-0.013038,-0.031106,-9.761794
8971000,0.009827,0.026698,-9.818184
8972000,0.018379,0.032268,-9.810549
8973000,-0.034043,0.004021,-9.784921
8974000,-0.024629,0.020803,-9.814365
8975000,0.000913,-0.018789,-9.774085
8976000,-0.060111,-0.027447,-9.774588
8977000,0.042794,0.033710,-9.778758
8978000,-0.041554,-0.002505,-9.795025
8979000,-0.002185,-0.003431,-9.797293
8980000,0.041216,0.000468,-9.757461
8981000,0.014265,0.015997,-9.841977
8982000,-0.033089,0.000362,-9.801880
8983000,-0.017415,0.020232,-9.782232
8984000,0.012547,0.049512,-9.762895
8985000,-0.063296,-0.051681,-9.823004
8986000,0.043740,0.060723,-9.801704
8987000,0.023138,-0.033638,-9.824732
8988000,-0.004438,-0.032642,-9.817047
8989000,-0.027385,0.050491,-9.796143
8990000,-0.030946,-0.075644,-9.780445
8991000,0.035862,-0.035445,-9.809136
8992000,-0.010501,-0.005078,-9.791851
8993000,0.051235,0.016717,-9.836301
8994000,-0.019823,0.002513,-9.743567
8995000,-0.014109,-0.040390,-9.786843
8996000,0.004970,-0.039237,-9.783721
8997000,0.018109,0.009945,-9.804440
8998000,-0.005878,0.014688,-9.813466
8999000,-0.014616,-0.003416,-9.830211
9000000,0.013988,-0.015201,-9.809348
9001000,-0.023087,0.008491,-9.817183
9002000,-0.034088,0.003648,-9.785534
9003000,0.010387,0.054572,-9.792193
9004000,-0.021969,0.029334,-9.826049
9005000,0.016605,-0.011777,-9.714416
9006000,-0.059320,0.005964,-9.786626
9007000,-0.008038,-0.026270,-9.792101
9008000,0.013171,-0.014522,-9.756217
9009000,0.010627,-0.027668,-9.830114
9010000,0.018865,-0.011051,-9.782719
9011000,-0.014525,-0.063642,-9.864755
9012000,0.010412,0.067353,-9.883350
9013000,-0.019512,0.066406,-9.803661
9014000,0.000753,0.031313,-9.852608
9015000,0.053480,-0.047738,-9.846186
9016000,-0.010812,0.015467,-9.816179
9017000,-0.043132,0.001713,-9.814281
9018000,-0.034312,-0.017222,-9.857842
9019000,0.000717,0.029350,-9.785284
9020000,-0.041404,-0.014100,-9.795019
9021000,-0.090824,-0.042480,-9.818650
9022000,-0.031781,0.008814,-9.858540
9023000,-0.028567,0.007749,-9.842621
9024000,0.009948,-0.026291,-9.802240
9025000,0.005989,0.005971,-9.795482
9026000,-0.049951,-0.031309,-9.794819
9027000,-0.041765,-0.037982,-9.829408
9028000,-0.037615,0.039200,-9.779589
9029000,-0.010240,-0.000822,-9.858556
9030000,0.001411,0.036476,-9.797513
9031000,-0.039554,-0.017550,-9.872125
9032000,-0.002530,0.002276,-9.765778
9033000,0.015283,-0.020686,-9.826406
9034000,-0.009496,0.015930,-9.813420
9035000,-0.030454,0.021573,-9.792739
9036000,0.016836,0.038306,-9.773805
9037000,-0.048068,-0.009213,-9.833896
9038000,0.010057,-0.027188,-9.812419
9039000,0.003243,-0.021065,-9.801533
9040000,0.012016,0.018163,-9.722727
9041000,0.007624,-0.080350,-9.813777
9042000,0.028586,-0.017682,-9.766666
9043000,0.049727,0.037051,-9.839959
9044000,0.032736,-0.007682,-9.862470
9045000,0.033997,0.005814,-9.854387
9046000,0.043848,0.020064,-9.774942
9047000,0.007120,-0.040586,-9.813890
9048000,0.014269,0.034053,-9.846964
9049000,0.010931,0.036374,-9.818367
9050000,-0.046860,0.052272,-9.783649
9051000,0.010898,-0.004632,-9.863665
9052000,0.023358,0.000341,-9.798811
9053000,-0.018804,0.027875,-9.822678
9054000,0.005453,0.005117,-9.809868
9055000,-0.010330,0.030122,-9.841710
9056000,0.025392,-0.006391,-9.867645
9057000,-0.030120,-0.050395,-9.782629
9058000,0.018563,-0.029875,-9.815823
9059000,0.017600,0.006166,-9.795659
9060000,-0.034480,0.022950,-9.795406
9061000,0.010958,-0.029867,-9.793522
9062000,-0.018593,0.042031,-9.741589
9063000,0.016752,-0.028814,-9.838177
9064000,-0.010747,0.015739,-9.812793
9065000,0.038189,0.045468,-9.777215
9066000,0.072011,0.036610,-9.794112
9067000,0.016029,0.055528,-9.804312
9068000,0.019899,0.018535,-9.821070
9069000,-0.049749,-0.028250,-9.861210
9070000,0.035689,0.020935,-9.824301
9071000,0.049845,0.020719,-9.801985
9072000,0.004823,0.007255,-9.810816
9073000,-0.007074,0.001007,-9.797247
9074000,0.014123,0.063406,-9.770113
9075000,0.080461,0.024660,-9.874234
9076000,0.023116,-0.016243,-9.787491
9077000,0.007573,-0.036340,-9.779382
9078000,-0.015887,-0.027762,-9.781098
9079000,-0.016243,-0.011779,-9.828916
9080000,-0.018561,-0.014436,-9.821181
9081000,-0.035632,0.015974,-9.815585
9082000,-0.017663,0.022023,-9.793051
9083000,0.009121,-0.015391,-9.811401
9084000,-0.012257,-0.001278,-9.792747
9085000,-0.039534,0.012944,-9.850920
9086000,-0.019031,-0.017865,-9.798053
9087000,-0.002681,0.027017,-9.848490
9088000,-0.019605,0.007954,-9.847677
9089000,-0.016414,-0.008482,-9.794634
