timestamp,X,Y,Z,Rx,Ry,Rz,Vx,Vy,Vz,VRx,VRy,VRz,collided_counts
15988000,0.000000,-0.000000,-0.204918,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.073662,-0.000000,0.000000,0.000000,6
15989000,0.000000,-0.000000,-0.204991,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.073763,-0.000000,0.000000,0.000000,6
15990000,0.000000,-0.000000,-0.205065,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.073864,-0.000000,0.000000,0.000000,6
15991000,0.000000,-0.000000,-0.205139,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.073964,-0.000000,0.000000,0.000000,6
15992000,0.000000,-0.000000,-0.205213,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.074064,-0.000000,0.000000,0.000000,6
15993000,0.000000,-0.000000,-0.205287,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.074164,-0.000000,0.000000,0.000000,6
15994000,0.000000,-0.000000,-0.205362,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.074263,-0.000000,0.000000,0.000000,6
15995000,0.000000,-0.000000,-0.205436,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.074362,-0.000000,0.000000,0.000000,6
15996000,0.000000,-0.000000,-0.205510,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.074460,-0.000000,0.000000,0.000000,6
15997000,0.000000,-0.000000,-0.205585,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.074559,-0.000000,0.000000,0.000000,6
15998000,0.000000,-0.000000,-0.205660,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.074656,-0.000000,0.000000,0.000000,6
15999000,0.000000,-0.000000,-0.205734,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.074754,-0.000000,0.000000,0.000000,6
16000000,0.000000,-0.000000,-0.205809,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.074851,-0.000000,0.000000,0.000000,6
16001000,0.000000,-0.000000,-0.205884,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.074948,-0.000000,0.000000,0.000000,6
16002000,0.000000,-0.000000,-0.205959,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.075045,-0.000000,0.000000,0.000000,6
16003000,0.000000,-0.000000,-0.206034,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.075141,-0.000000,0.000000,0.000000,6
16004000,0.000000,-0.000000,-0.206110,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.075237,-0.000000,0.000000,0.000000,6
16005000,0.000000,-0.000000,-0.206185,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.075332,-0.000000,0.000000,0.000000,6
16006000,0.000000,-0.000000,-0.206260,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.075427,-0.000000,0.000000,0.000000,6
16007000,0.000000,-0.000000,-0.206336,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.075522,-0.000000,0.000000,0.000000,6
16008000,0.000000,-0.000000,-0.206412,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.075617,-0.000000,0.000000,0.000000,6
16009000,0.000000,-0.000000,-0.206487,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.075711,-0.000000,0.000000,0.000000,6
16010000,0.000000,-0.000000,-0.206563,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.075805,-0.000000,0.000000,0.000000,6
16011000,0.000000,-0.000000,-0.206639,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.075898,-0.000000,0.000000,0.000000,6
16012000,0.000000,-0.000000,-0.206715,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.075992,-0.000000,0.000000,-0.000000,6
16013000,0.000000,-0.000000,-0.206791,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.076085,-0.000000,0.000000,-0.000000,6
16014000,0.000000,-0.000000,-0.206867,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.076177,-0.000000,0.000000,-0.000000,6
16015000,0.000000,-0.000000,-0.206943,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.076269,-0.000000,0.000000,-0.000000,6
16016000,0.000000,-0.000000,-0.207020,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.076361,-0.000000,0.000000,-0.000000,6
16017000,0.000000,-0.000000,-0.207096,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.076453,-0.000000,0.000000,-0.000000,6
